,index,Question,lucas_categoria,lucas_justificativa,lucas_resposta,Nome_Tópico,llama_categoria,llama_justificativa,llama_resposta,qwen_categoria,qwen_justificativa,groudthruth
10,737,Como escolher e aguentar a faculdade visando apenas mercado de trabalho e concurso?,3,Muito aberta,Escolha o curso que dê base sólida e garanta estabilidade ou empregabilidade conforme seu objetivo.,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende dos interesses e objetivos pessoais,grau 3,pergunta opinativa e aberta,
11,274,Como começar a estudar sistemas embarcados,1,,"Comece estudando microcontroladores, eletrônica digital e programação em C.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,existem varias formas de comecar dependendo dos interesses e recursos disponiveis,grau 3,pergunta aberta e opinativa,
12,636,Estou estudando matemática para o Enem. Me faça uma lista dos principais assuntos que devo estudar em ordem de prioridade,1,,"Priorize: aritmética, álgebra, funções, geometria, estatística e probabilidade.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,a prioridade depende dos seus pontos fortes e fracos,grau 3,pergunta opinativa e aberta,
13,798,"se tivermos que resumir um único valor para uma distribuição de MonteCarlo, qual seria o melhor? A média ou o ""mais provável""?",1,,Depende do contexto: use a média para centralidade e o valor mais provável se quiser o pico da distribuição.,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,,,,
14,167,COMO UTILIZAR A FUNÇÃO SUBSTITUIR EM EXCEL,1,,Use SUBSTITUIR(texto; texto_antigo; texto_novo) no Excel.,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta tecnica,nao aplicavel,grau 3,pergunta nao relacionada ao tema e nao causal,
15,0,"Eu trabalho em uma empresa chamada nerraW. Preciso fazer um review no glassdoor e gostaria de ajuda na elaboração do mesmo. Nesta empresa a cultura é boa, tecnologia muito ruim e sinto o discurso da liderança diferente do que é praticado no dia a dia. ",2,"Pergunta em si não tem contexto, mas foi adicionado um pouco podendo adicionar mais","Destaque cultura positiva, mas cite que a tecnologia é fraca e há desconexão entre discurso e prática.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente pois a pergunta nao se enquadra no tema especificado e e opinativa,grau 3,"pergunta opinativa e nao relacionada a causalidade entre faculdade, emprego e trabalho",
16,583,"Redação sobre Trabalhos de casa. Para que servem, e quais são as vantagens e desvantagens ",2,Precisa de contexto,Servem para aprendizado autônomo; vantagens: flexibilidade. Desvantagens: distrações e falta de socialização.,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,a resposta depende de diversos fatores pessoais e contextuais,grau 3,pergunta opinativa e aberta,
17,204,2 / 2Como monitorar uma plantação de longo alcance?,2,Precisa de contexto,"Use drones, sensores IoT e imagens de satélite com análise via software agrícola.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente sobre monitoramento de plantacao neste contexto,grau 3,pergunta nao relacionada ao tema e aberta,
18,621,como validar com sql se os dados da tabela A estão em B,1,,SELECT * FROM A WHERE coluna NOT IN (SELECT coluna FROM B) para validar.,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,nao se aplica,grau 3,pergunta nao relacionada ao tema,
19,409,"2 / 2Como posso construir confiança e credibilidade com potenciais clientes nas redes sociais, antes de fazer uma oferta de alto valor?",2,muito aberta podendo ter muitas maneiras de responder sem objetividade,"Gere valor com conteúdo gratuito, prova social e interações genuínas antes de vender.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"existem varias estrategias como compartilhar conteudo de valor, engajar com a comunidade e demonstrar experiencia",grau 3,pergunta opinativa e aberta,
20,766,Como fazer pra orientar/co-orientar monografias?,1,,"Auxilie alunos, revise textos e ajude na metodologia com feedback constante.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende das habilidades do orientador e das necessidades do aluno,grau 3,pergunta opinativa e aberta,
21,681,Como cobrar pela análise estatística?,2,Precisa de contexto,Baseie o preço no tempo gasto e complexidade; cobre por hora ou projeto.,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende do contexto e dos valores de mercado,grau 3,pergunta vaga e opinativa,
22,87,Quando é a hora de pedir aumento?,2,Precisa de contexto,Quando seu desempenho estiver acima da média e o mercado valorizar seu cargo.,0_faculdade_fazer_emprego_trabalho,grau 2,depende de contexto,"depende de fatores como desempenho, mercado e relacao com o empregador",grau 3,pergunta depende de contexto pessoal e situacional,
23,247,Dev só arranja emprego se tiver contatos?,1,,"Contatos ajudam, mas projetos no GitHub e portfólio também atraem vagas.",0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,"nao necessariamente, mas contatos podem ajudar",grau 2,depende de contexto e variaveis,
24,555,Como conseguir clientes para meus trabalhos?,2,Precisa de contexto,"Use redes sociais, indicação e mostre resultados anteriores.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,existem varias estrategias como marketing digital e networking,grau 3,pergunta opinativa e aberta,
25,793,Qual o cargo entre o Gerente de Tecnologia e o Analista Senior de Tecnologia? Considere uma empresa multinacional farmacêutica e não uma empresa cujo core seja tecnologia para pensar na organização da área de Tech,3,Empresas tem estruturar diferentes,"O cargo de Gerente é acima do Analista Sênior, com foco em gestão e estratégia.",0_faculdade_fazer_emprego_trabalho,grau 1,estrutura organizacional,"o cargo pode variar, mas geralmente e entre eles esta o coordenador de tecnologia ou o especialista senior",grau 2,depende do contexto da empresa,
26,781,Como construir um portfolio pra ser aceito no mestrado?,3,Muito aberta,"Mostre projetos, artigos e carta de motivação alinhada à linha de pesquisa.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"inclua trabalhos relevantes, projetos e experiencias que demonstrem habilidades e conhecimento na area do mestrado",grau 2,depende do contexto do mestrado,
27,188,2 / 2me ajude a planejar um projeto com arduino para coleta de dados em uma solução em nuvem afim de fazer analise de dados,2,Precisa de contexto,"Use Arduino com sensores, envie dados via Wi-Fi para um banco em nuvem (ex: Firebase).",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente sem mais detalhes,grau 3,pergunta vaga e opinativa,
28,352,"PJ, CLT e concurso público: como ponderar os prós e os contras?",3,Como ponderar?,CLT dá estabilidade; PJ tem flexibilidade; concurso tem segurança e benefícios.,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,a escolha depende de preferencias pessoais e objetivos de carreira,grau 3,pergunta opinativa e aberta,
29,782,Como posso iniciar trabalhando com suporte tecnico?,2,Precisa de contexto,"Comece estudando hardware, redes e atendimento remoto; busque certificações.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"pesquise requisitos da area, faça cursos e busque oportunidades de entrada",grau 2,precisa de contexto pessoal,
30,607,"Por que os discos rígidos da IBM em 1956 eram muito pesados e hoje temos cartões de memória com capacidade muito superior, mesmo sendo fisicamente pequenos?",1,,A evolução tecnológica reduziu tamanho e aumentou densidade de armazenamento.,0_faculdade_fazer_emprego_trabalho,grau 1,evolucao tecnologica,"a pergunta nao se relaciona ao tema de faculdade, emprego ou trabalho",grau 3,pergunta nao relacionada ao tema,
31,105,Quais estratégias usam para compreender código legado?,2,Precisa de contexto,"Leia o código, adicione logs e testes; converse com quem o mantém.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente sem contexto especifico,grau 3,pergunta vaga e nao especifica sobre faculdade ou emprego,
32,229,Aja como um especialista em marketing digital. Dê ideias de vídeos curtos sobre contabilidade.,2,Precisa de contexto,"Fale de temas como impostos, dicas financeiras e curiosidades de contabilidade.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente,grau 3,pergunta opinativa e aberta,
33,759,Quero trabalhar em banco oq eu faço?,2,Precisa de contexto,"Estude economia, matemática financeira e faça estágios em instituições financeiras.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende dos interesses e objetivos pessoais,grau 3,pergunta opinativa e aberta,
34,61,Como atuar em Saúde Pública ?,2,Precisa de contexto,"Forme-se em saúde, estude políticas públicas e busque vagas em órgãos do SUS.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende da area especifica e das habilidades individuais,grau 3,pergunta vaga e aberta,
35,254,Quais ações educativas seriam adequadas para centros municipais de educação infantil  ?,2,Precisa de contexto,"Proponha atividades lúdicas, inclusão e formação cidadã.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende das necessidades especificas de cada centro e contexto local,grau 3,pergunta opinativa e aberta,
36,478,Pessoas que NAO trabalham em empregos home office pretende mudar de área só para conseguir trabalhar home?,3,Opinião,"Sim, muitas pessoas mudam de área buscando flexibilidade e equilíbrio com o home office.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,a resposta varia de pessoa para pessoa e depende de diversos fatores pessoais e profissionais,grau 3,pergunta opinativa e aberta,
