,Unnamed: 0,index,Question,lucas_categoria,lucas_justificativa,lucas_resposta,Nome_Tópico,llama_categoria,llama_justificativa,llama_resposta,qwen_categoria,qwen_justificativa,groundtruth,groundtruth_modelo
12,12,636,Estou estudando matemática para o Enem. Me faça uma lista dos principais assuntos que devo estudar em ordem de prioridade,1.0,,"Priorize: aritmética, álgebra, funções, geometria, estatística e probabilidade.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,a prioridade depende dos seus pontos fortes e fracos,grau 3,pergunta opinativa e aberta,"Priorize: aritmética, álgebra, funções, geometria, estatística e probabilidade.","
1. Funções (1º grau, 2º grau, exponencial, logarítmica, trigonométrica)
2. Geometria Plana e Espacial
3. Análise Combinatória e Probabilidade
4. Matrizes, Determinantes e Sistemas Lineares
5. Números Complexos e Polinômios
6. Estatística (medidas de tendência central e dispersão)
7. Progressões (Aritmética e Geométrica)
8. Trigonometria (círculo trigonométrico, lei dos senos e cossenos)
9. Porcentagem, Juros e Descontos
10. Grandezas e Medidas."
13,13,798,"se tivermos que resumir um único valor para uma distribuição de MonteCarlo, qual seria o melhor? A média ou o ""mais provável""?",1.0,,Depende do contexto: use a média para centralidade e o valor mais provável se quiser o pico da distribuição.,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,,,,Depende do contexto: use a média para centralidade e o valor mais provável se quiser o pico da distribuição.,"
A média é geralmente a melhor opção para resumir uma distribuição de Monte Carlo, pois representa o valor esperado central da distribuição e incorpora todas as amostras geradas. O valor ""mais provável"" (moda) pode ser enganoso se a distribuição for assimétrica ou multimodal."
14,14,167,COMO UTILIZAR A FUNÇÃO SUBSTITUIR EM EXCEL,1.0,,Use SUBSTITUIR(texto; texto_antigo; texto_novo) no Excel.,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta tecnica,nao aplicavel,grau 3,pergunta nao relacionada ao tema e nao causal,Use SUBSTITUIR(texto; texto_antigo; texto_novo) no Excel.,"
A função `SUBSTITUIR` no Excel permite substituir um texto específico por outro dentro de uma célula ou string de texto. Sua sintaxe é: `=SUBSTITUIR(texto, texto_antigo, texto_novo, [ocorrencia])`.

*   **texto:** O texto onde a substituição será feita.
*   **texto_antigo:** O texto que você deseja substituir.
*   **texto_novo:** O texto que substituirá o texto antigo.
*   **[ocorrencia]:** (Opcional) Especifica qual ocorrência do texto antigo deve ser substituída. Se omitido, todas as ocorrências são substituídas.

Exemplo: `=SUBSTITUIR(""banana"", ""ana"", ""ela"")` retorna ""belana"".  `=SUBSTITUIR(""banana"", ""ana"", ""ela"", 1)` também retorna ""belana"", pois substitui apenas a primeira ocorrência.
"
15,15,0,"Eu trabalho em uma empresa chamada nerraW. Preciso fazer um review no glassdoor e gostaria de ajuda na elaboração do mesmo. Nesta empresa a cultura é boa, tecnologia muito ruim e sinto o discurso da liderança diferente do que é praticado no dia a dia. ",2.0,"Pergunta em si não tem contexto, mas foi adicionado um pouco podendo adicionar mais","Destaque cultura positiva, mas cite que a tecnologia é fraca e há desconexão entre discurso e prática.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente pois a pergunta nao se enquadra no tema especificado e e opinativa,grau 3,"pergunta opinativa e nao relacionada a causalidade entre faculdade, emprego e trabalho","Destaque cultura positiva, mas cite que a tecnologia é fraca e há desconexão entre discurso e prática.","
Aqui estão algumas sugestões para seu review no Glassdoor:

**Pontos Positivos:**

*   ""A cultura da empresa é um ponto forte, com um ambiente de trabalho colaborativo e bom relacionamento entre colegas.""
*   ""As pessoas são acolhedoras e há um bom clima organizacional.""

**Pontos Negativos:**

*   ""A infraestrutura tecnológica é defasada e impacta a produtividade e a qualidade do trabalho.""
*   ""Existe uma desconexão entre o discurso da liderança e as práticas diárias, gerando frustração e desmotivação.""
*   ""A falta de investimento em tecnologia limita o desenvolvimento de novas soluções e a inovação.""

**Sugestão de frase final:**

*   ""A nerraW tem potencial para ser uma ótima empresa, mas precisa modernizar sua tecnologia e alinhar as ações da liderança com os valores propagados.""

**Dica:** Seja específico e forneça exemplos (sem expor informações confidenciais) para dar mais credibilidade ao seu review."
16,16,583,"Redação sobre Trabalhos de casa. Para que servem, e quais são as vantagens e desvantagens ",2.0,Precisa de contexto,Servem para aprendizado autônomo; vantagens: flexibilidade. Desvantagens: distrações e falta de socialização.,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,a resposta depende de diversos fatores pessoais e contextuais,grau 3,pergunta opinativa e aberta,Servem para aprendizado autônomo; vantagens: flexibilidade. Desvantagens: distrações e falta de socialização.,"

Os trabalhos de casa servem para reforçar o aprendizado, desenvolver autonomia e responsabilidade, além de preparar para desafios futuros.

**Vantagens:** fixação do conteúdo, desenvolvimento de hábitos de estudo, organização do tempo, aprofundamento individual e envolvimento familiar.

**Desvantagens:** podem gerar estresse, sobrecarga, desigualdade (falta de recursos ou apoio em casa) e, se excessivos, diminuir o tempo para outras atividades importantes."
17,17,204,2 / 2Como monitorar uma plantação de longo alcance?,2.0,Precisa de contexto,"Use drones, sensores IoT e imagens de satélite com análise via software agrícola.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente sobre monitoramento de plantacao neste contexto,grau 3,pergunta nao relacionada ao tema e aberta,"Use drones, sensores IoT e imagens de satélite com análise via software agrícola.","
Utilize drones com câmeras multiespectrais, imagens de satélite, sensores no solo (umidade, temperatura, nutrientes) e plataformas de monitoramento agrícola baseadas em nuvem para análise de dados e alertas."
18,18,621,como validar com sql se os dados da tabela A estão em B,1.0,,SELECT * FROM A WHERE coluna NOT IN (SELECT coluna FROM B) para validar.,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,nao se aplica,grau 3,pergunta nao relacionada ao tema,SELECT * FROM A WHERE coluna NOT IN (SELECT coluna FROM B) para validar.,"
```sql
SELECT COUNT(*) 
FROM A
WHERE NOT EXISTS (SELECT 1 FROM B WHERE A.id = B.id);
```
"
19,19,409,"2 / 2Como posso construir confiança e credibilidade com potenciais clientes nas redes sociais, antes de fazer uma oferta de alto valor?",2.0,muito aberta podendo ter muitas maneiras de responder sem objetividade,"Gere valor com conteúdo gratuito, prova social e interações genuínas antes de vender.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"existem varias estrategias como compartilhar conteudo de valor, engajar com a comunidade e demonstrar experiencia",grau 3,pergunta opinativa e aberta,"Gere valor com conteúdo gratuito, prova social e interações genuínas antes de vender.","artigo:

1.  **Compartilhe conteúdo de valor:** Publique regularmente informações relevantes, úteis e que resolvam os problemas do seu público-alvo.
2.  **Seja transparente e autêntico:** Mostre os bastidores do seu negócio, compartilhe seus valores e seja honesto em suas comunicações.
3.  **Engaje com a audiência:** Responda a comentários e mensagens, participe de discussões e mostre que você se importa com seus seguidores.
4.  **Construa prova social:** Compartilhe depoimentos de clientes satisfeitos, estudos de caso e resultados que você já alcançou.
5.  **Demonstre expertise:** Posicione-se como um especialista em seu nicho, oferecendo insights e soluções inovadoras.
6.  **Ofereça conteúdo gratuito de qualidade:** Crie e-books, webinars, guias ou outros materiais gratuitos que demonstrem seu conhecimento e ajudem seu público.
7.  **Seja consistente:** Mantenha uma frequência regular de postagens e interações para manter sua audiência engajada e construir um relacionamento de longo prazo."
20,20,766,Como fazer pra orientar/co-orientar monografias?,1.0,,"Auxilie alunos, revise textos e ajude na metodologia com feedback constante.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende das habilidades do orientador e das necessidades do aluno,grau 3,pergunta opinativa e aberta,"Auxilie alunos, revise textos e ajude na metodologia com feedback constante.","apenas orientar/co-orientar monografias?

1.  **Disponibilidade:** Avalie sua agenda e capacidade para dedicar tempo adequado ao aluno.
2.  **Alinhamento:** Verifique se o tema proposto se encaixa em sua área de expertise.
3.  **Reuniões:** Estabeleça frequência e formato das reuniões de acompanhamento.
4.  **Feedback:** Ofereça críticas construtivas e direcionamentos claros em cada etapa.
5.  **Normas:** Garanta que o trabalho siga as normas da instituição.
6.  **Incentivo:** Motive o aluno a desenvolver o projeto com autonomia e responsabilidade.
7.  **Co-orientação:** Divida tarefas e responsabilidades com o co-orientador, mantendo a comunicação alinhada."
21,21,681,Como cobrar pela análise estatística?,2.0,Precisa de contexto,Baseie o preço no tempo gasto e complexidade; cobre por hora ou projeto.,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende do contexto e dos valores de mercado,grau 3,pergunta vaga e opinativa,Baseie o preço no tempo gasto e complexidade; cobre por hora ou projeto.,"$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço."
22,22,87,Quando é a hora de pedir aumento?,2.0,Precisa de contexto,Quando seu desempenho estiver acima da média e o mercado valorizar seu cargo.,0_faculdade_fazer_emprego_trabalho,grau 2,depende de contexto,"depende de fatores como desempenho, mercado e relacao com o empregador",grau 3,pergunta depende de contexto pessoal e situacional,Quando seu desempenho estiver acima da média e o mercado valorizar seu cargo.,"
Quando você demonstra resultados consistentes acima das expectativas, assume novas responsabilidades e entrega valor para a empresa. Pesquise a média salarial do mercado para sua função e experiência, e prepare argumentos sólidos baseados em suas conquistas."
23,23,247,Dev só arranja emprego se tiver contatos?,1.0,,"Contatos ajudam, mas projetos no GitHub e portfólio também atraem vagas.",0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,"nao necessariamente, mas contatos podem ajudar",grau 2,depende de contexto e variaveis,"Contatos ajudam, mas projetos no GitHub e portfólio também atraem vagas.","

Não necessariamente. Embora contatos possam ajudar, a competência técnica, um bom portfólio e habilidades de comunicação são cruciais para conseguir emprego como desenvolvedor. Muitas empresas contratam por mérito, independentemente de conexões pré-existentes."
24,24,555,Como conseguir clientes para meus trabalhos?,2.0,Precisa de contexto,"Use redes sociais, indicação e mostre resultados anteriores.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,existem varias estrategias como marketing digital e networking,grau 3,pergunta opinativa e aberta,"Use redes sociais, indicação e mostre resultados anteriores.","
Divulgue seus serviços online (redes sociais, portfólio digital, plataformas freelancer), faça networking, peça indicações a clientes satisfeitos, ofereça um bom atendimento e considere parcerias com outros profissionais."
25,25,793,Qual o cargo entre o Gerente de Tecnologia e o Analista Senior de Tecnologia? Considere uma empresa multinacional farmacêutica e não uma empresa cujo core seja tecnologia para pensar na organização da área de Tech,3.0,Empresas tem estruturar diferentes,"O cargo de Gerente é acima do Analista Sênior, com foco em gestão e estratégia.",0_faculdade_fazer_emprego_trabalho,grau 1,estrutura organizacional,"o cargo pode variar, mas geralmente e entre eles esta o coordenador de tecnologia ou o especialista senior",grau 2,depende do contexto da empresa,"O cargo de Gerente é acima do Analista Sênior, com foco em gestão e estratégia.","
Em uma multinacional farmacêutica, o cargo de Gerente de Tecnologia é superior ao de Analista Sênior de Tecnologia. O gerente é responsável por liderar equipes e definir a estratégia de tecnologia, enquanto o analista sênior foca na execução técnica e análise de sistemas."
26,26,781,Como construir um portfolio pra ser aceito no mestrado?,3.0,Muito aberta,"Mostre projetos, artigos e carta de motivação alinhada à linha de pesquisa.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"inclua trabalhos relevantes, projetos e experiencias que demonstrem habilidades e conhecimento na area do mestrado",grau 2,depende do contexto do mestrado,"Mostre projetos, artigos e carta de motivação alinhada à linha de pesquisa.","Concise e relevante, com exemplos de conteúdo a serem incluídos:

1.  **Seleção de Trabalhos:** Escolha projetos que demonstrem suas habilidades de pesquisa, análise e escrita acadêmica. Priorize aqueles alinhados à área do mestrado.
2.  **Conteúdo:** Inclua monografias de graduação, artigos científicos (publicados ou não), relatórios de pesquisa, projetos de extensão, resumos de eventos e, se relevante, trabalhos artísticos ou de design.
3.  **Organização:** Organize o portfólio de forma lógica, com uma introdução que destaque seus objetivos e habilidades. Utilize um índice para facilitar a navegação.
4.  **Formato:** Formatos comuns são PDF ou plataformas online (ex: Google Drive, Behance, websites pessoais). Garanta que os documentos estejam legíveis e bem formatados.
5.  **Carta de Apresentação:** Inclua uma carta destacando a relevância dos trabalhos para o programa de mestrado e suas expectativas.
6.  **Revisão:** Revise cuidadosamente a gramática e a ortografia de todos os documentos. Peça a outras pessoas para revisarem também."
27,27,188,2 / 2me ajude a planejar um projeto com arduino para coleta de dados em uma solução em nuvem afim de fazer analise de dados,2.0,Precisa de contexto,"Use Arduino com sensores, envie dados via Wi-Fi para um banco em nuvem (ex: Firebase).",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente sem mais detalhes,grau 3,pergunta vaga e opinativa,"Use Arduino com sensores, envie dados via Wi-Fi para um banco em nuvem (ex: Firebase).","
1.  **Defina os dados a serem coletados:** Escolha os sensores (temperatura, umidade, luminosidade, etc.) e determine a frequência de coleta.
2.  **Escolha da plataforma IoT:** Decida qual plataforma de nuvem utilizar (AWS IoT, Azure IoT Hub, Google Cloud IoT, ThingSpeak, etc.).
3.  **Conectividade:** Selecione o método de conexão do Arduino à internet (Wi-Fi, Ethernet, GPRS/3G).
4.  **Programação do Arduino:** Desenvolva o código para ler os sensores, formatar os dados e enviá-los para a plataforma IoT.
5.  **Configuração da nuvem:** Configure a plataforma IoT para receber, armazenar e processar os dados enviados pelo Arduino.
6.  **Análise de dados:** Utilize as ferramentas da plataforma de nuvem ou outras ferramentas de análise de dados (Python, R, etc.) para analisar os dados coletados.
7.  **Visualização:** Crie painéis ou relatórios para visualizar os dados e os resultados da análise."
28,28,352,"PJ, CLT e concurso público: como ponderar os prós e os contras?",3.0,Como ponderar?,CLT dá estabilidade; PJ tem flexibilidade; concurso tem segurança e benefícios.,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,a escolha depende de preferencias pessoais e objetivos de carreira,grau 3,pergunta opinativa e aberta,CLT dá estabilidade; PJ tem flexibilidade; concurso tem segurança e benefícios.,"
**PJ (Pessoa Jurídica):**

*   **Prós:** Maior autonomia, potencial de ganhos ilimitados, flexibilidade de horários, benefícios fiscais.
*   **Contras:** Instabilidade financeira, responsabilidade total pelo negócio, necessidade de gestão, ausência de benefícios trabalhistas (férias, 13º, FGTS).

**CLT (Consolidação das Leis do Trabalho):**

*   **Prós:** Estabilidade, benefícios trabalhistas, jornada definida, menor responsabilidade.
*   **Contras:** Menor autonomia, teto salarial, menor flexibilidade, burocracia.

**Concurso Público:**

*   **Prós:** Estabilidade extrema, bons salários e benefícios, progressão na carreira, prestígio.
*   **Contras:** Concorrência alta, processo seletivo demorado, menor flexibilidade, ambiente de trabalho por vezes burocrático.

**Ponderação:** Avalie seus objetivos de vida, tolerância ao risco, necessidade de estabilidade e preferências por autonomia e flexibilidade. Se prioriza segurança e benefícios, CLT ou concurso são mais indicados. Se busca liberdade e potencial de ganhos, PJ pode ser melhor, mas exige disciplina e planejamento."
29,29,782,Como posso iniciar trabalhando com suporte tecnico?,2.0,Precisa de contexto,"Comece estudando hardware, redes e atendimento remoto; busque certificações.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"pesquise requisitos da area, faça cursos e busque oportunidades de entrada",grau 2,precisa de contexto pessoal,"Comece estudando hardware, redes e atendimento remoto; busque certificações.","

Comece com cursos online gratuitos ou pagos sobre sistemas operacionais, redes e hardware. Busque certificações básicas como CompTIA A+ ou Microsoft Technology Associate (MTA). Candidate-se a vagas de estágio ou nível júnior em empresas de tecnologia ou suporte, e considere trabalhos freelancers para ganhar experiência prática."
