,index,Question,Nome_Tópico,llama_categoria,llama_justificativa,llama_resposta,qwen_categoria,qwen_justificativa,groudthruth
102,656,Cite atitudes tomadas no ambiente de trabalho  com base nas  habilidades que informou ser traço do seu perfil profissional.,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,as atitudes variam conforme o perfil profissional de cada pessoa,grau 3,pergunta opinativa e depende do contexto individual,
103,633,O que estudar pensando em uma carreira na área de TI? (pensando amplamente),0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende dos interesses e objetivos pessoais,grau 3,pergunta opinativa e aberta,
104,816,Se eu começar cc na usp ano q vê em quanto tempo arrumo um estagio?,0_faculdade_fazer_emprego_trabalho,grau 2,depende de varios fatores,"o tempo para conseguir um estagio varia dependendo da area de estudo, desempenho academico e oportunidades de mercado",grau 2,depende de variaveis individuais e de mercado,
105,180,"Estudante de engenharia elétrica que vai se formar desempregado, qual é a saída?",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"a saída pode incluir buscar vagas de emprego, fazer cursos complementares, ou iniciar um projeto proprio",grau 2,depende de contexto especifico,"O primeiro passo é atualizar o currículo, com todas as experiências e projetos acadêmicos. Caso você queira se tornar um profissional liberal, o ideal é providenciar o marketing dos serviços que você irá oferecer. Caso você queira trabalhar  em empresas, você pode identificar processos de seleção para participar. "
106,468,Como virar dev autônomo?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende das habilidades e mercado,grau 3,pergunta vaga e opinativa,"O primeiro passo é atualizar o currículo, com todos os projetos desenvolvidos e as experiências. Em seguida, o ideal é providenciar o marketing dos serviços que você irá oferecer."
107,577,"tenho que enviar para a nuvem uma pasta que contem um grande numero de pastas e arquivos, grandes e principalmente pequenos, faz diferença em termos de velocidade de envio e processamento eu envia-las do jeito que estao ou coloca-las num arquivo compactado(ainda que com zero compactacao, apenas para torna-la uma coisa só)?",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao se aplica,grau 3,pergunta nao relacionada ao tema,
108,773,"Dá certo fazer IC, estudar noturno e trabalhar ao mesmo tempo?",0_faculdade_fazer_emprego_trabalho,grau 2,depende de contexto,pode dar certo dependendo da carga horaria e organizacao pessoal,grau 2,depende do contexto individual,"Dá certo fazer iniciação científica, ter aulas à noite e trabalhar, mas é certamente um grande desafio que irá representar sacrifícios ao longo da jornada."
109,101,como está o mercado de trabalho para formados em relações internacionais?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,o mercado varia dependendo da regiao e das oportunidades globais,grau 2,depende de contexto e mercado especifico,
110,686,tem como hostear servidores windows em alguma nuvem na qual podemos tirar print mesmo sem ter monitor?,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta tecnica objetiva,nao e possivel responder objetivamente,grau 3,pergunta vaga e fora do tema,
111,402,1 / 2Como monitorar uma plantação de longo alcance?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente,grau 3,pergunta nao relacionada ao tema e vaga,"Equipamentos, como drones e câmeras, e ferramentas tecnológicas, como o processamento de imagens, podem auxiliar o monitoramento de uma plantação de longo alcance."
112,754,Tem alguma ferramenta online que facilita encontrar empresas privadas locais com dados específicos?,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta clara e objetiva,"sim, existem ferramentas como linkedin e indeed que podem ajudar a encontrar empresas com dados especificos",grau 1,pergunta clara e verificavel,"Sim, existem ferramentas online para facilitar a encontrar empresas privadas com dados específicos, a exemplo do LinkedIn."
